CURRUCUCU ZIBATA. 8D2PL9LSNTMG,,,,,,,
Ventas de Productos,,,,,,,
"Lista de Productos en las ventas de entre 8:00 AM, sábado 12 de julio de 2025 y 8:00 AM, lunes 13 de julio de 2026",,,,,,,
"Fecha de exportación: 9:32 AM, miércoles 15 de julio de 2026",,,,,,,
#,ID Alfanumérico,Código (SKU),Nombre,Categoría,Subcategoría,Cantidad, Importe 
52,1619020699155-SENCILLA,-,Quesadillas SENCILLA,DEL COMAL,-,267," $12,015.00 "
53,ZHgQktd8drHU2XJrjIrw,-,Rusa,Bebidas ,-,11, $660.00 
54,c1qAnoYpyV3DX20hkTyM-BOING LATA 355 ML,-,Refrescos BOING LATA 355 ML,Bebidas ,-,24," $1,080.00 "
55,1619020699156-ESPECIAL CON CECINA O ARRACHERA O CARNITAS,-,Huaraches ESPECIAL CON CECINA O ARRACHERA O CARNITAS,DEL COMAL,-,35," $6,190.00 "
56,Hm67fLGGG2ofTFNgzG1M,-,GUISO CON DOS GUARNICONES,MENU ,-,38," $4,680.00 "
57,1619020699142-LOS SENCILLOS,-,Molletes LOS SENCILLOS,MENU ,-,64," $7,990.00 "
58,awVhgNznadD7dPa0PkDM,-,Cecina,MENU ,-,15," $3,960.00 "
59,qsBr39LxFbNkid7B3EC0-DE PAPA,-,Flautas DE PAPA,MENU ,-,83," $9,940.00 "
60,1619020699140-CON JAMÓN,-,Huevos CON JAMÓN,MENU ,-,21," $2,850.00 "
61,1619020699148-ARRIEROS,-,Chilaquiles ARRIEROS,MENU ,-,27," $4,885.00 "
62,yqK9edAwyROCvyTdk2ZJ-POLLO,-,Enmoladas POLLO,MENU ,-,35," $5,785.00 "
63,SwP7Q2haoxpylRPzmSJ1-OAXAQUEÑAS,-,Enfrijoladas OAXAQUEÑAS,MENU ,-,13," $2,705.00 "
64,1619020699161,-,Botella de Agua,Bebidas ,-,7, $210.00 
65,n06hkidwlDUCwcu0le4m,-,DESECHABLES,EXTRAS,-,3449," $34,490.00 "
66,1619020699156-ESPECIAL CON BISTEC O POLLO O CHORIZO,-,Huaraches ESPECIAL CON BISTEC O POLLO O CHORIZO,DEL COMAL,-,31," $4,340.00 "
67,1619020699155-ESPECIAL( CON CECINA O ARRACHERA O CARNITAS),-,Quesadillas ESPECIAL( CON CECINA O ARRACHERA O CARNITAS),DEL COMAL,-,54," $4,320.00 "
68,c1qAnoYpyV3DX20hkTyM-BOING 355 ML,-,Refrescos BOING 355 ML,Bebidas ,-,29," $1,160.00 "
69,1619020699156-CON 1 GUISO,-,Huaraches CON 1 GUISO,DEL COMAL,-,95," $9,045.00 "
70,"1619020699152-CON BISTEC, POLLO O CHORIZO",-,"Sopes CON BISTEC, POLLO O CHORIZO",DEL COMAL,-,200," $15,370.00 "
71,1619020699145-ARRACHERA,-,Tortas ARRACHERA,MENU ,-,111," $20,105.00 "
72,1619020699146-SUIZAS DE QUESO,-,Enchiladas SUIZAS DE QUESO,MENU ,-,33," $6,410.00 "
73,c1qAnoYpyV3DX20hkTyM-COCA COLA LIGHT,-,Refrescos COCA COLA LIGHT,Bebidas ,-,12, $500.00 
74,SwP7Q2haoxpylRPzmSJ1-CON 2 HUEVOS,-,Enfrijoladas CON 2 HUEVOS,MENU ,-,17," $2,425.00 "
75,1619020699148-CON 2 HUEVOS,-,Chilaquiles CON 2 HUEVOS,MENU ,-,45," $5,750.00 "
76,7G5YEiWJXD2uZPivjeNl,-,MINI ROSCA,MENU ,-,31," $9,800.00 "
77,vNpwD9LbkgyUHaFJ6N51,-,Paquete Fin de Semana,PAQUETES ,-,79," $14,220.00 "
78,VDfEMETRENAuc6d5jGhE,-,JUGO DE MANDARINA,Bebidas ,-,5, $400.00 
79,EVObgroPx3Ug1WqooRfg,-,KILO DE BACALAO,NAVIDAD,-,42.25," $39,081.25 "
80,1619020699152-SENCILLO,-,Sopes SENCILLO,DEL COMAL,-,137," $6,860.00 "
81,1619020699156-ESPECIAL CON COSTILLA,-,Huaraches ESPECIAL CON COSTILLA,DEL COMAL,-,23," $4,265.00 "
82,OpcOoNCPChxa6auJGXIt,-,SALMON EN SALSA DE LIMON/ MANTEQUILLA,NAVIDAD,-,36," $24,765.00 "
83,VkpM1feQtz6zg2l96G3u,-,Bistec a La Plancha,MENU ,-,22," $4,730.00 "
84,1619020699149-CON MILANESA DE POLLO,-,Tecolota CON MILANESA DE POLLO,MENU ,-,26," $4,745.00 "
85,1619020699140-CON TOCINO,-,Huevos CON TOCINO,MENU ,-,7, $975.00 
86,1619020699146-DE QUESO,-,Enchiladas DE QUESO,MENU ,-,22," $3,080.00 "
87,1619020699150-PECHUGA A LA PLANCHA,-,Milanesas Y Pechugas PECHUGA A LA PLANCHA,MENU ,-,31," $4,590.00 "
