CURRUCUCU ZIBATA. 8D2PL9LSNTMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historial de ventas del domingo 12 de julio de 2026 al lunes 13 de julio de 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fecha de exportación: 10:22 AM, miércoles 15 de julio de 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID Venta Único,ID Artículo,ID de Cliente,Cliente,Teléfono Cliente,Código (SKU),Descripción Artículo,ID Categoría,Categoría,ID Subcategoría,Subcategoría,Cantidad Artículo, Importe Artículo ,ID Venta Numérico,Referencia,Estatus,Tipo de Venta,Artículos Total, Total Venta , Pago Total Venta , Pago Efectivo Venta , Pago Tarjetas Venta , Cambio Venta , Propina Venta ,Cierre de Venta,Registró Venta,Mesa Venta,Mesero Venta,Tipo de Servicio Venta, Descuento (Cortesía) 
2026-07-12_servicioEntrega,oGnkTKWQpQpsOK3nibt7,,,,-,Gorditas,UdSch7gGNUlrhfpHtbqV,DE NUESTRO COMAL,-,-,4, $268.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,c1qAnoYpyV3DX20hkTyM-COCA COLA ZERO,,,,-,Refrescos COCA COLA ZERO,p2BB5iBeK3h0r5Ka8bzm,Bebidas ,-,-,1, $45.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699155-SENCILLA,,,,-,Quesadillas SENCILLA,YQIH7dRsprDKo7czQeKH,COMAL,-,-,1, $45.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,n16nyWRrB8z1eLD3NrCd,,,,-,Quesadillas,UdSch7gGNUlrhfpHtbqV,DE NUESTRO COMAL,-,-,14," $1,036.00 ",,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,g4NLIzJfbGrDEfT340R5,,,,-,Combo Quesadillas,YQIH7dRsprDKo7czQeKH,COMAL,-,-,2, $300.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699140-CON TOCINO,,,,-,Huevos CON TOCINO,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $130.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699149-SENCILLOS,,,,-,Tecolota SENCILLOS,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $110.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699148-MAYAS,,,,-,Chilaquiles MAYAS,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $180.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699145-MILANESA DE RES,,,,-,Tortas MILANESA DE RES,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $160.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699155-ESPECIAL( CON CECINA O ARRACHERA O CARNITAS),,,,-,Quesadillas ESPECIAL( CON CECINA O ARRACHERA O CARNITAS),YQIH7dRsprDKo7czQeKH,COMAL,-,-,3, $240.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
